Process A [NEW] (arrival time 9 ms) 16 CPU bursts
0.[A1]CPUBurst: 56ms
1.[A1]IOBurst: 230ms
2.[A2]CPUBurst: 60ms
3.[A2]IOBurst: 1530ms
4.[A3]CPUBurst: 39ms
5.[A3]IOBurst: 500ms
6.[A4]CPUBurst: 47ms
7.[A4]IOBurst: 20ms
8.[A5]CPUBurst: 137ms
9.[A5]IOBurst: 240ms
10.[A6]CPUBurst: 64ms
11.[A6]IOBurst: 150ms
12.[A7]CPUBurst: 68ms
13.[A7]IOBurst: 640ms
14.[A8]CPUBurst: 113ms
15.[A8]IOBurst: 160ms
16.[A9]CPUBurst: 11ms
17.[A9]IOBurst: 1620ms
18.[A10]CPUBurst: 24ms
19.[A10]IOBurst: 1170ms
20.[A11]CPUBurst: 76ms
21.[A11]IOBurst: 280ms
22.[A12]CPUBurst: 122ms
23.[A12]IOBurst: 330ms
24.[A13]CPUBurst: 9ms
25.[A13]IOBurst: 680ms
26.[A14]CPUBurst: 62ms
27.[A14]IOBurst: 770ms
28.[A15]CPUBurst: 200ms
29.[A15]IOBurst: 110ms
30.[A16]CPUBurst: 197ms

Process B [NEW] (arrival time 18 ms) 21 CPU bursts
0.[B1]CPUBurst: 106ms
1.[B1]IOBurst: 1560ms
2.[B2]CPUBurst: 198ms
3.[B2]IOBurst: 1130ms
4.[B3]CPUBurst: 208ms
5.[B3]IOBurst: 1620ms
6.[B4]CPUBurst: 50ms
7.[B4]IOBurst: 460ms
8.[B5]CPUBurst: 82ms
9.[B5]IOBurst: 160ms
10.[B6]CPUBurst: 7ms
11.[B6]IOBurst: 300ms
12.[B7]CPUBurst: 52ms
13.[B7]IOBurst: 120ms
14.[B8]CPUBurst: 228ms
15.[B8]IOBurst: 770ms
16.[B9]CPUBurst: 138ms
17.[B9]IOBurst: 820ms
18.[B10]CPUBurst: 67ms
19.[B10]IOBurst: 70ms
20.[B11]CPUBurst: 120ms
21.[B11]IOBurst: 130ms
22.[B12]CPUBurst: 49ms
23.[B12]IOBurst: 420ms
24.[B13]CPUBurst: 134ms
25.[B13]IOBurst: 320ms
26.[B14]CPUBurst: 144ms
27.[B14]IOBurst: 790ms
28.[B15]CPUBurst: 183ms
29.[B15]IOBurst: 60ms
30.[B16]CPUBurst: 219ms
31.[B16]IOBurst: 230ms
32.[B17]CPUBurst: 64ms
33.[B17]IOBurst: 800ms
34.[B18]CPUBurst: 33ms
35.[B18]IOBurst: 740ms
36.[B19]CPUBurst: 63ms
37.[B19]IOBurst: 2310ms
38.[B20]CPUBurst: 170ms
39.[B20]IOBurst: 570ms
40.[B21]CPUBurst: 212ms

Debug: done
